Mon Aug 24 20:17:54 2020

arraySize_param = 80
mseThreshold_param = 0.002
publish_rate = 10

prevInputArraySize: 74, newInputArraySize: 74, truncatedArraySize: 80
prevInputArraySize: 74, newInputArraySize: 75, truncatedArraySize: 80
prevInputArraySize: 75, newInputArraySize: 75, truncatedArraySize: 80
prevInputArraySize: 75, newInputArraySize: 75, truncatedArraySize: 80
prevInputArraySize: 75, newInputArraySize: 75, truncatedArraySize: 80
prevInputArraySize: 75, newInputArraySize: 75, truncatedArraySize: 80
prevInputArraySize: 75, newInputArraySize: 75, truncatedArraySize: 80
prevInputArraySize: 75, newInputArraySize: 76, truncatedArraySize: 80
prevInputArraySize: 76, newInputArraySize: 76, truncatedArraySize: 80
prevInputArraySize: 76, newInputArraySize: 76, truncatedArraySize: 80
prevInputArraySize: 76, newInputArraySize: 76, truncatedArraySize: 80
prevInputArraySize: 76, newInputArraySize: 76, truncatedArraySize: 80
prevInputArraySize: 76, newInputArraySize: 76, truncatedArraySize: 80
prevInputArraySize: 76, newInputArraySize: 77, truncatedArraySize: 80
prevInputArraySize: 77, newInputArraySize: 77, truncatedArraySize: 80
prevInputArraySize: 77, newInputArraySize: 77, truncatedArraySize: 80
prevInputArraySize: 77, newInputArraySize: 77, truncatedArraySize: 80
prevInputArraySize: 77, newInputArraySize: 77, truncatedArraySize: 80
prevInputArraySize: 77, newInputArraySize: 77, truncatedArraySize: 80
prevInputArraySize: 77, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 78, truncatedArraySize: 80
prevInputArraySize: 78, newInputArraySize: 79, truncatedArraySize: 80
prevInputArraySize: 79, newInputArraySize: 79, truncatedArraySize: 80
prevInputArraySize: 79, newInputArraySize: 79, truncatedArraySize: 80
prevInputArraySize: 79, newInputArraySize: 79, truncatedArraySize: 80
prevInputArraySize: 79, newInputArraySize: 79, truncatedArraySize: 80
prevInputArraySize: 79, newInputArraySize: 79, truncatedArraySize: 80
prevInputArraySize: 79, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 80, truncatedArraySize: 80
prevInputArraySize: 80, newInputArraySize: 81, truncatedArraySize: 80
Updating static variables for the next callback
prevTruncatedArray populated
prevInputArraySize reset to newInputArraySize
Publishing number of loop closures and the recent pose array
<====================================>

prevInputArraySize: 81, newInputArraySize: 81, truncatedArraySize: 80
prevInputArraySize: 81, newInputArraySize: 81, truncatedArraySize: 80
prevInputArraySize: 81, newInputArraySize: 81, truncatedArraySize: 80
prevInputArraySize: 81, newInputArraySize: 81, truncatedArraySize: 80
prevInputArraySize: 81, newInputArraySize: 81, truncatedArraySize: 80
prevInputArraySize: 81, newInputArraySize: 82, truncatedArraySize: 80
(0.0181025, -0.00133604, 0.00273407) - (0.0181025, -0.00133604, 0.00273407)
(0.0237833, -0.00317471, 0.00478655) - (0.0237833, -0.00317471, 0.00478655)
(0.0292251, -0.00548274, 0.00548343) - (0.0292251, -0.00548274, 0.00548343)
(0.0343428, -0.00583555, 0.00485791) - (0.0343428, -0.00583555, 0.00485791)
(0.0376285, -0.00695216, 0.00417865) - (0.0376285, -0.00695216, 0.00417865)
(0.0388986, -0.00741365, 0.00368188) - (0.0388986, -0.00741365, 0.00368188)
(0.0388446, -0.00815238, 0.0026878) - (0.0388446, -0.00815238, 0.0026878)
(0.0377632, -0.00888354, 0.00236919) - (0.0377632, -0.00888354, 0.00236919)
(0.0356088, -0.00917498, 0.00337824) - (0.0356088, -0.00917498, 0.00337824)
(0.0328471, -0.00941656, 0.00344459) - (0.0328471, -0.00941656, 0.00344459)
(0.0313843, -0.00984899, 0.00238605) - (0.0313843, -0.00984899, 0.00238605)
(0.0294619, -0.0101014, 0.000861879) - (0.0294619, -0.0101014, 0.000861879)
(0.0290363, -0.00952481, -0.000762169) - (0.0290363, -0.00952481, -0.000762169)
(0.0290705, -0.00832578, -0.00200278) - (0.0290705, -0.00832578, -0.00200278)
(0.0305859, -0.00807427, -0.00259938) - (0.0305859, -0.00807427, -0.00259938)
(0.0350263, -0.00741309, -0.00241264) - (0.0350263, -0.00741309, -0.00241264)
(0.043598, -0.00771422, -0.0021919) - (0.043598, -0.00771422, -0.0021919)
(0.0576511, -0.0100762, -0.00146631) - (0.0576511, -0.0100762, -0.00146631)
(0.0780888, -0.012599, 0.00233963) - (0.0780888, -0.012599, 0.00233963)
(0.104284, -0.0159601, 0.0108292) - (0.104284, -0.0159601, 0.0108292)
(0.27487, -0.0247227, -0.00226845) - (0.27487, -0.0247227, -0.00226845)
(0.390663, -0.0344169, -0.00815262) - (0.390663, -0.0344169, -0.00815262)
(0.5062, -0.0466439, -0.0130517) - (0.5062, -0.0466439, -0.0130517)
(0.621007, -0.0616699, -0.0171608) - (0.621007, -0.0616699, -0.0171608)
(0.750094, -0.0818776, -0.0199258) - (0.750094, -0.0818776, -0.0199258)
(0.835079, -0.0965531, -0.0210181) - (0.835079, -0.0965531, -0.0210181)
(0.972194, -0.122647, -0.021305) - (0.972194, -0.122647, -0.021305)
(1.1149, -0.153298, -0.0208042) - (1.1149, -0.153298, -0.0208042)
(1.20967, -0.175344, -0.0204943) - (1.20967, -0.175344, -0.0204943)
(1.3039, -0.198635, -0.0201372) - (1.3039, -0.198635, -0.0201372)
(1.45171, -0.238164, -0.0192334) - (1.45171, -0.238164, -0.0192334)
